"ADP.number","Identification","id_row"
"1,014.00","Cypraea subviridis",1
"1,014.00","C. dorsalis (Sch & Sch)",2
"1,015.00","Cypraea cylindrica",1
"1,016.00","Cypraea onyx",1
"1,017.00","Cypraea subviridis",1
"1,017.00","C. dorsalis (Sch & Sch)",2
"1,018.00","Cypraea gracilis",1
"1,019.00","Cypraea scurra",1
"1,019.00","C. indica",2
"1,020.00","Cypraea annettae",1
