ADP number,Accesion year,ACC_N,Former number,count in lot,Specimen identifier's name,Type,Size (mm),condition,Data,Valves,Superfamily,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Describer,Former identification,Common name,Country,State,City,Area,Site,Year,Month,Day,Collectors name,Value,Comment area,Reference
,,meaning?,,,,meaning?,,,,,,,,,,,,,,,,,,,,,,,,,,to what?
"7,127.00",1942,,,4,Collector,41,15.1,Good,Full,1,Cerithioidea,Pleuroceridae,Pleurocerinae,Lithasia,,obovata,,Say,,,USA,Kentucky,Henry County,Kentucky River,,1906,11,29,"Joyce, J.B.",,,
"7,128.00",1942,,,4,"Hobbes, J., 2001",41,20.9,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,littorea,,"L., 1758",,Common Periwinkle,USA,New Hampshire,Seabrook,Seabrook Beach,,1907,7,10,"Mayr, J.C.",,,
"7,129.00",1942,,,17,Collector,41,4.9,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,miklpilium,,,,,Cuba,,Cayo Piedras,,,1909,11,,"Johnson, Q.O.",,,
"7,130.00",1942,,,1,"Hobbes, J., 2001",41,26.9,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,fasciata,,"Gray, 1839",,Banded Periwinkle,Nicaragua,,,W coast,,1901,4,2,"Gifford, E.W.",,,
"7,131.00",1942,,,3,"Hobbes, J., 2001",41,26.1,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,littorea,,"L., 1758",,Common Periwinkle,USA,Maine,,Cape Porpoise,,1906,9,28,Lehr. M.,,,
"7,132.00",1942,,,5,"Hobbes, J., 2001",41,22.9,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,scabra,angulifera,"Lamarck, 1822",,Angulate Periwinkle,USA,Florida,Miami,Biscayne Bay,,1909,11,20,"Smith, E.G.",,,
"7,133.00",1942,,275,6,"Hobbes, J., 2001",41,29.2,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,scabra,angulifera,"Lamarck, 1822",,Angulate Periwinkle,USA,Florida,,,,1912,7,23,"Miller, E.T.",,,
"7,134.00",1942,,,12,"Hobbes, J., 2001",41,28.1,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,scabra,angulifera,"Lamarck, 1822",,Angulate Periwinkle,Nicaragua,,Wounto,,,1908,8,10,"Beech, E.",,,
"7,135.00",1942,,,1,"Hobbes, J., 2001",41,12.6,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,scabra,angulifera,"Lamarck, 1822",,Angulate Periwinkle,USA,Florida,Miami,,,1909,11,23,"Smith, E.G.",,,
"7,136.00",1942,,,85,Collector,41,14.1,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,carinata,,,,,Guatemala,,Cavech Village,,,1914,1,,"Keynes, M.M.",,,
"7,137.00",1942,,,12,Collector,41,15.5,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,carinata,,,,,Guatemala,,Cavech Village,,,1914,,,"Keynes, M.M.",,,
"7,138.00",1942,,,23,Collector,41,12.8,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,carinata,jamaicensis,,,,Mexico,,Tampico,La Barra,on jetties,1907,,,"Keynes, M.M.",,,
"7,139.00",1942,,,23,Collector,41,13.1,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,columellaris,,d'Orbigny,,,USA,Texas,Galveston,,,1909,12,31,"Bausch, P.",,,
"7,140.00",1942,,,12,Collector,41,20,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,columellaris,,d'Orbigny,,,Nicaragua,,Wounta Hauloves,,,1903,8,10,"Beech, E.",,,
"7,141.00",1942,,,2,"Hobbes, J., 2001",41,11.1,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,fasciata,,"Gray, 1839",,Banded Periwinkle,Mexico,,,Gulf of California,,1887,,,Unknown,,,
"7,142.00",1942,,,4,"Hobbes, J., 2001",41,23.8,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,irrorata,,"Say, 1822",,Marsh Periwinkle,USA,,,Eastern coast,,1900,,,Unknown,,,
"7,143.00",1942,,,6,"Hobbes, J., 2001",41,21.1,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,irrorata,,"Say, 1822",,Marsh Periwinkle,USA,Texas,,Sabine Pass,,1903,2,5,"Bausch, P.",,,
"7,144.00",1942,,,12,"Hobbes, J., 2001",41,21.7,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,irrorata,,"Say, 1822",,Marsh Periwinkle,USA,Maryland,,St. Mary's County,Swan's Point,1905,5,19,"Court, F.",,,
"7,145.00",1942,,,12,Collector,41,11.9,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,lineata,,d'Orbigny,,,USA,Florida,Lake Worth,,,1901,11,7,"White, J.J.",,,
"7,146.00",1942,,,5,"Hobbes, J., 2001",41,32,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,littorea,,"L., 1758",,Common Periwinkle,USA,Rhode Island,Newport,,,1902,7,8,P.B.J.,,,
"7,147.00",1999,99,,6,"Hobbes, J., 2001",41,13.5,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,littorea,,"L., 1758",,Common Periwinkle,USA,Rhode Island,,Greenwich Bay,Oakland Beach,1938,8,25,Unknown,,,
"7,148.00",1942,,,10,"Hobbes, J., 2001",41,20.9,Good,Full,1,Littorinoidea,Littorinidae,Littorininae,Littorina,,littorea,,"L., 1758",,Common Periwinkle,USA,Connecticut,New London,,Fort Trumbull,1899,2,20,P.B.J.,,,
