ADP number,Cat Numb,Accesion year,ACC_N,Former number,count in lot,Specimen identifier's name,Type,Size (mm),condition,Data,Valves,Kingdom,Superfamily,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Full name,Describer,Former identification,Common name,Country,State,City,Area,Site,Year,Month,Day,Collectors name,Comment area,Reference
10937,ABCD:10937,1999,99,,1,"Smith, A., 2003",61,74.9,Good,Full,2,Animalia,Unionoidea,Amblemidae,Lampsilinae,Lampsilis,,radiata,luteola,Lampsilis radiata luteola,"Lamarck, 1819",65,,USA,Ohio,Hinckley,Medina County,1 mi. E,1952,12,30,P.T. Barns,,
2954,ABCD:2954,1984,118,,2,Collector,41,19,Good,Full,,Animalia,Trochoidea,Trochidae,Monodontinae,Tegula,Agathistoma,rubroflammulata,,Tegula rubroflammulata ,Koch in Philippi,02-000,Tegula,Panama,,,Canal Zone,Venada Beach,1973,4,9,"Bond, James",Alive under rocks.,
5247,ABCD:5247,9999,99,,1,Collector,62,19.2,Good,Full,2,Animalia,Unionoidea,Unionidae,Anodontinae,Alasmidonta,,viridis,,Alasmidonta viridis ,Rafinesque 1820,A. calceolus (Lea),,USA,Michigan,Portland,Grand River,4 mi. SE,1909,8,25,"Bond, James",Juvenile.,
4547.06,ABCD:4547.06,1978,65,,3,"George, B., 2000",62,100.1,Good,Full,2,Animalia,Unionoidea,Amblemidae,Lampsilinae,Actinonaias,,ligamentina,ligamentina,Actinonaias ligamentina ligamentina,"Lamarck, 1819",A. carinata,,USA,Ohio,,Coshocton County,Mohican River,1955,7,4,"Jones, L",At US36 to mouth.,
3084,ABCD:3084,1978,65,5113,5,"George, B., 2000",62,63,Good,Full,2,Animalia,Unionoidea,Amblemidae,Lampsilinae,Lampsilis,,ventricosa,,Lampsilis ventricosa ,"Barnes, 1823",A. carinata (Crosse & Fischer),,USA,Michigan,,Monroe County,Detroit Beach,1949,9,5,"Jones, L","On sand bottom in 12-30"" of water",
3496,ABCD:3496,1995,9999,,2,"Smith, A., 2003",61,78,Good,Basic,2,Animalia,Veneroidea,Veneridae,Chioninae,Mercenaria,,mercenaria,,Mercenaria mercenaria ,"L., 1758",Venus mercenaria alba (Dall),"Quahog, Northern",USA,Rhode Island,Newport,Fort Adams,,,,,,,62-100
9620,ABCD:9620,1942,,,2,Collector,41,50.1,Good,Basic,1,Animalia,Cerithioidea,Cerithiidae,Cerithiinae,Rhinoclavis,,lineatum,,Rhinoclavis lineatum ,Brug.,Vertagus,,Philippine Islands,,,,,1902,7,8,"Jones, L",,
905,ABCD:905,1981,109,,2,Collector,41,27,Fine,Full,,Animalia,Muricoidea,Mitridae,Imbricariinae,Cancilla,,filaris,,Cancilla filaris ,"L., 1771",Vexillum militaris (Reeve),"Miter, File",Fiji,,,Toberua Island,,1976,6,8,"Jones, Q.",,19-400
11382,ABCD:11382,9999,99,,10,"Jones, Q., 2004",61,48.3,Good,Poor,2,Animalia,Pectinoidea,Pectinidae,Chlamydinae,Chlamys,Argopecten,tranquebarica,,Chlamys tranquebarica ,"Gmelin, 1791",Volachlamys,Tranquebar Scallop,,,,India-SriLanka,,2004,5,8,"Alpha, M.",Three right and seven left valves.,
