etaxonomy_key,irn,SummaryData
125,178805,"Helicella tauchoniana (Bourguignat, 1887)"
126,178839,"Hygromia cinctella (Draparnaud, 1801)"
127,637173,"Sphaerium stamineum"
128,181146,"Stenotrema cohuttense (Clapp, 1914)"
129,181147,"Stenotrema deceptum (Clapp, 1905)"
130,181150,"Stenotrema edvardsi (Bland, 1856)"
131,181152,"Stenotrema fraternum fraternum (Say, 1824)"
132,181153,"Stenotrema hirsutum (Say, 1817)"
133,181156,"Stenotrema maxillatum (Gould, 1848)"
134,642717,"Eutrochatella elongata"
135,195735,"Stenotrema sp. var. globosa Pilsbry"
136,642877,"Helicina uzenensis Pilsbry"
137,643626,"Rapa rapa Linnaeus, 1758"
138,36050,"Unio gracilis Barnes, 1823"
139,42024,"Unio aberti Conrad, 1850"
140,169580,"Quadrula intermedia (Conrad, 1836)"
141,643659,"Semicassis labiatum Perry, 1811"
142,643660,"Semicassis saburon Adanson"
143,643661,"Semicassis granulatum undulatum Gmelin, 1791"
144,643662,"Semicassis granulatum granulatum Born, 1778"
145,643663,"Semicassis granulatum centiquadratum Valenciennes, 1832"
146,643664,"Semicassis granulatum centiquadrata Valenciennes, 1832"
147,643665,"Semicassis craticulatum Euthyme, 1885"
148,643078,"Mactrellona alata Spengler, 1802"
149,196377,"Triodopsis tridentata juxtidens Pilsbry"
150,194589,"Polygyra tridentata tenneseensis Walker & Pilsbry, 1902"
151,154712,"Polygyra texasiana texasensis, Pilsbry, 1902"
152,154709,"Polygyra texasiana hyperolia, Pilsbry & Ferriss, 1906"
153,643686,"Sphincterochila (Albea) candidissima sardoa von Maltzan"
154,643704,"Strigilecula cana Held"
155,169553,"Potamilus alatus (Say, 1817)"
156,169612,"Tritogonia verrucosa (Rafinesque, 1820)"
157,634316,"Potamilus laevissima"
158,152619,"Helicella sphaerita (Hartmann)"
159,152620,"Helicella splakiota (Maltzan)"
160,152622,"Helicella subapicina (Mousson)"
161,152623,"Helicella subinvesta (Mabille)"
162,152624,"Helicella sublallmentiana (Pallary)"
163,152625,"Helicella submaritima (Des Moulins)"
164,152626,"Helicella submeridionalis (Bourguignat)"
165,152627,"Helicella subneglecta (Bourguignat)"
166,152628,"Helicella subprofuga (Stabile)"
167,152629,"Helicella subrostrata (Férussac)"
168,152631,"Helicella subvariegata (Maltzan)"
169,152638,"Helicella taeniata (Westerlund)"
170,152639,"Helicella tanousi (Westerlund)"
171,294515,"Tridacna gigas (Linnaeus, 1758)"
172,643941,"Turritella carinifera Lamarck, 1822"
173,643071,"Mactra aspera Sowerby"
174,293953,"Hemicardium cardissa"
175,646925,"Eupera singleyi Pilsbry"
176,199856,"Nephronaias rowelli"
177,199857,"Nephronaias scammnatus"
178,169569,"Pyganodon grandis (Say, 1829)"
179,643067,"Macoma aurora Hanley"
180,152116,"Geomitra arcinella (Lowe)"
181,152120,"Geomitra bowdichiana (Sowerby)"
182,643942,"Turritella capensis Krauss, 1848"
183,414869,"Peristernia sulcata luchuana Pilsbry, 1901"
184,642436,"Cyclophorus acutimarginatus Pfeiffer"
185,294364,"Hemicardium hemicardium Linnaeus"
186,585277,"Elliptio niger danielsi (Wright, B.H., 1899)"
187,583660,"Goniobasis ampla"
188,585258,"Margarita (Unio) crassidens (Lamarck, 1819)"
189,589716,"Anculosa vittata"
190,182580,"Conasprella comatosa (Pilsbry)"
191,152524,"Helicella mortilleti (Pallary)"
192,152525,"Helicella muggianica (Stossich)"
193,152528,"Helicella murcica penchinati (Bourguignat)"
194,152529,"Helicella neglecta (Draparnaud)"
195,152530,"Helicella neglecta neglecta (Draparnaud)"
196,152531,"Helicella newka (Dohrn)"
197,152532,"Helicella nisiana (Westerlund)"
198,152533,"Helicella nokourensis Pallary"
199,152534,"Helicella numidica (Moquin-Tandon)"
200,152535,"Helicella nyelii (Pfeiffer)"
201,152537,"Helicella obvia obvia (Hartmann)"
202,152538,"Helicella obvia vulgarissima (Mousson)"
203,152540,"Helicella oreta (Bourguignat)"
204,163593,"Helicella sp."
205,585017,"Margarita (Unio) arctatus (Conrad, 1834)"
206,119274,"Proptera alata megaptera Rafinesque"
207,119722,"Anodonta cygnea piscinalis rostrata Held"
208,175798,"Pleurodonte pallescens (L. Pfeiffer, 1859)"
209,198384,"Leucochroa candidissima f. minima"
210,198385,"Leucochroa candidissima f. tipica"
211,198386,"Leucochroa candidissima var. minor"
212,198575,"Monacha incarnata welebitana"
213,199189,"Trichia hispida scheerpeltzi"
214,151064,"Candidula apraiana"
215,151065,"Candidula profuga (Schmidt)"
216,642176,"Candidula xalonica Servain"
217,182941,"Pleurodonte marginella var. rostrata (Pfeiffer)"
218,182942,"Pleurodonte (Caracolus) marginella schwartziana (Pfeiffer)"
219,649702,"Pleurodonte sublucerna (Pilsbry, 1889)"
220,636801,"Micrarionta ruficincta"
221,585259,"Margaron (Unio) crassidens (Lamarck, 1819)"
222,575891,"Unio cumberlandieus Lea"
223,576031,"Unio geometricus Lea"
224,571379,"Actinonaias ligamentina ligamentina (Lamarck, 1819)"
225,152585,"Helicella ricandoi (Ortiz de Zarate Lopez)"
226,163577,"Candidula ricandoi Ortiz de Zarate Lopez"
227,152661,"Helicella verignoni (Pallary, 1918)"
228,152658,"Helicella variabilis (Draparnaud, 1801)"
229,207632,"Unio ortmanni Frierson, 1913"
230,208004,"Unio vatus Paetel, 1890"
231,119860,"Cristaria discoidea swinhoei (H. Adams, 1866)"
232,208731,"Tritogonia verrucosa verrucosa (Rafinesque, 1820)"
233,162311,"Polydontes lima Férussac"
234,169582,"Quadrula nodulata (Rafinesque, 1820)"
235,198843,"Polygyra divesta"
236,152347,"Helicella barneyana (Ancey)"
237,152348,"Helicella bathyomphala (Charpentier)"
238,152350,"Helicella betulonensis (Bofill)"
239,152351,"Helicella boissyi (Michaud)"
240,152352,"Helicella brulardi (Pallary)"
241,152353,"Helicella brundisiana (Fagot)"
242,152354,"Helicella buslimiana (Kobelt)"
243,152355,"Helicella cactorum (Cafici)"
244,152356,"Helicella calcarata (Benoit)"
245,152357,"Helicella calographa (Westerlund)"
246,152358,"Helicella calopsis (Bourguignat)"
247,152359,"Helicella canariensis (Shuttleworth)"
248,152360,"Helicella candaharica (Hutton)"
249,152362,"Helicella candidula (Studer)"
250,194575,"Polygyra tridentata var. complanata Pilsbry"
251,194576,"Polygyra tridentata var. discordia Pilsbry"
252,194577,"Polygyra tridentata var. justidens Pilsbry"
253,194580,"Polygyra tridentata complanata Pilsbry"
254,194581,"Polygyra tridentata dicoidea Pilsbry"
255,169565,"Ptychobranchus subtentum (Say, 1825)"
256,154253,"Papuina albocarinata trobriandensis Hedley"
257,154254,"Papuina alfredi (Cox)"
258,154255,"Papuina alfredi trichoa (Martens)"
259,154256,"Papuina alfredi trichroa (Martens)"
260,154257,"Papuina allasteri (Cox)"
261,154258,"Papuina ambrosia ramsdeni Angas"
262,154259,"Papuina ambrosia (Angas)"
263,154262,"Papuina barnaclei (Smith)"
264,154263,"Papuina bequaerti Clench & Turner"
265,154264,"Papuina boivini (Petit)"
266,154265,"Papuina boivinii (Petit)"
267,154266,"Papuina boyeri Clapp & Ferriss"
268,154267,"Papuina brazierae (Brazier)"
269,154268,"Papuina chacei (Cox)"
270,154269,"Papuina chancei (Cox)"
271,154270,"Papuina confirmata Rensch"
272,154271,"Papuina conica Gude"
273,154272,"Papuina coxiana (Angas)"
274,154273,"Papuina cynthia (Fulton)"
275,154274,"Papuina densestriata Fulton"
276,154275,"Papuina eddystonensis (Cox)"
277,154276,"Papuina fergusoni (Adams)"
278,154277,"Papuina fictilia Clapp"
279,154278,"Papuina fictilis (Clapp)"
280,154281,"Papuina fucata (Pfeiffer)"
281,154282,"Papuina gelata maddocksi (Brazier)"
282,154283,"Papuina goldiei (Brazier)"
283,154285,"Papuina hargraeavesi (Angas)"
284,154286,"Papuina hargreavesi (Angas)"
285,154287,"Papuina heimburgi (Brancsik)"
286,154288,"Papuina humilis (Fulton)"
287,154289,"Papuina hunteri (Cox)"
288,154291,"Papuina kubaryi von Möllendorff"
289,154292,"Papuina lacteolata (Smith)"
290,154295,"Papuina lambei dunckeri Leske"
291,154301,"Papuina leucothoe (Pfeiffer)"
292,154303,"Papuina linterae (von Möllendorff)"
293,154304,"Papuina lintschuana (Kobelt)"
294,154305,"Papuina louisaidensis (Forbes)"
295,154306,"Papuina louisiadensis (Forbes)"
296,154307,"Papuina louisiadensis thomsoni Smith"
297,169560,"Ptychobranchus fasciolaris (Rafinesque, 1820)"
298,182437,"Anaitis paphia (Linnaeus)"
299,182948,"Polita indentata (Say)"
300,183350,"Achalina (Glandina) rosea Férussac"
301,183840,"Anaitis paphia Linnaeus"
302,585833,"Unio personatus Say, 1829"
303,186502,"Clausiliastra (Cochlodina) laminata"
304,187226,"Cylindrella cyclostoma Pfeiffer"
305,188443,"Gastridium terebra"
306,188555,"Gibbulina modiolus Férussac"
307,188565,"Glandina albersi Pfeiffer"
308,188566,"Glandina algira"
309,188567,"Glandina algira var. compressa Mousson"
310,188568,"Glandina bullata Gould"
311,188569,"Glandina decussata Deshayes"
312,188571,"Glandina dicussata Deshayes"
313,188572,"Glandina dilatata Ziegler"
314,188573,"Glandina fusco-lineata"
315,188574,"Glandina glatra Pfeiffer"
316,188575,"Glandina guttata Crosse & Fischer"
317,188576,"Glandina mazatlanica von Martens"
318,188577,"Glandina milleri Férussac"
319,188578,"Glandina obtusa Pfeiffer"
320,188579,"Glandina parallela Binney"
321,188581,"Glandina rosea Férussac"
322,188582,"Glandina rosea var. decussata Férussac"
323,188583,"Glandina serena Benson"
324,188586,"Glandina singleyiana"
325,188588,"Glandina texasiana Pfeiffer"
326,188590,"Glandina truncata"
327,188593,"Glandina turris Pfeiffer"
328,188594,"Glandina vanuxemensis Lea"
329,188636,"Gonyodiscus cronkhitei Newcomb"
330,188641,"Gonyodiscus perspectivus Say"
